"","Inc_month","Site","Location","Depth","Analyte","Spike_µg_L","Mean_Spike_Conc","Volume_lake_water_L","Type","NO2_NO3_mgNL","NH4_mgNL","Conc_ugNLK","pH","Weight_g","AFDM_g","real_icu_hrc","delta_Conc_ugNL","delta_Conc_ugNLhr","water_delta_Conc_ugNLhr","net_delta_Conc_ugNLhr","net_delta_Conc_ugNLhr_OM","flag"
"1","July","BW0.5m","BW",0.5,"NO3",0,0,0.025,"sediment",0.021,NA,21,7.95,2.06,0.02408983809,6.05,21,3.47107438016529,3.32480818414322,0.146266196022067,-0.151792423298586,FALSE
"2","July","BW0.5m","BW",0.5,"NO3",0,0,0.025,"sediment",0.017,NA,17,7.95,2.07,0.02420677905,6.05,17,2.8099173553719,3.32480818414322,-0.514890828771322,0.531763052519085,FALSE
"3","July","BW0.5m","BW",0.5,"NO3",0,0,0.025,"sediment",0.016,NA,16,7.95,1.98,0.0231543104,6.05,16,2.64462809917355,3.32480818414322,-0.680180084969669,0.73439898794143,FALSE
"4","July","BW0.5m","BW",0.5,"NO3",200,223.666666666667,0.025,"sediment",0.239,NA,239,7.95,1.96,0.02292042848,6.08333333333333,15.3333333333333,2.52054794520548,2.74932614555256,-0.228778200347081,0.24953525688526,FALSE
"5","July","BW0.5m","BW",0.5,"NO3",200,223.666666666667,0.025,"sediment",0.228,NA,228,7.95,1.98,0.0231543104,6.08333333333333,4.33333333333334,0.712328767123289,2.74932614555256,-2.03699737842927,2.19937167555341,FALSE
"6","July","BW0.5m","BW",0.5,"NO3",800,852.333333333333,0.025,"sediment",0.866,NA,866,7.95,2.03,0.02373901521,6.2,13.6666666666666,2.20430107526881,3.99999999999999,-1.79569892473118,1.891084053873,FALSE
"7","July","BW0.5m","BW",0.5,"NO3",800,852.333333333333,0.025,"sediment",0.83,NA,830,7.95,2.06,0.02408983809,6.2,-22.3333333333334,-3.60215053763441,3.99999999999999,-7.60215053763441,7.88937487793884,FALSE
"8","July","BW0.5m","BW",0.5,"NO3",800,852.333333333333,0.025,"sediment",0.861,NA,861,7.95,1.98,0.0231543104,6.2,8.66666666666663,1.39784946236559,3.99999999999999,-2.60215053763441,2.8095746458016,FALSE
"9","July","BW0.5m","BW",0.5,"NO3",1600,1682,0.025,"sediment",1.647,NA,1647,7.95,1.98,0.0231543104,6.2,-35,-5.64516129032258,4.42748091603053,-10.0726422063531,10.8755584082879,FALSE
"10","July","BW0.5m","BW",0.5,"NO3",1600,1682,0.025,"sediment",1.607,NA,1607,7.95,1.99,0.02327125136,6.2,-75,-12.0967741935484,4.42748091603053,-16.5242551095789,17.751790453759,FALSE
"11","July","BW0.5m","BW",0.5,"NO3",2000,1947,0.025,"sediment",2.038,NA,2038,7.95,2.01,0.02350513328,6.18333333333333,90.9999999999998,14.7169811320754,34.6055979643766,-19.8886168323012,21.1534823004215,FALSE
"12","July","BW0.5m","BW",0.5,"NO3",2000,1947,0.025,"sediment",2.063,NA,2063,7.95,1.97,0.02303736944,6.18333333333333,116,18.7601078167116,34.6055979643766,-15.845490147665,17.1954204547247,FALSE
"13","July","BW0.5m","BW",0.5,"NO3",2000,1947,0.025,"sediment",2.058,NA,2058,7.95,2.05,0.02397289713,6.18333333333333,111,17.9514824797844,34.6055979643766,-16.6541154845922,17.3676500114697,FALSE
"14","July","BW3m","BW",3,"NO3",0,0,0.025,"sediment",0.024,NA,24,7.95,2.03,0.02953545171,6.03333333333333,24,3.97790055248619,3.32480818414322,0.653092368342965,-0.552803775235511,FALSE
"15","July","BW3m","BW",3,"NO3",0,0,0.025,"sediment",0.027,NA,27,7.95,2.09,0.03040842073,6.03333333333333,27,4.47513812154696,3.32480818414322,1.15032993740374,-0.945733048435543,FALSE
"16","July","BW3m","BW",3,"NO3",0,0,0.025,"sediment",0.021,NA,21,7.95,2.02,0.02938995688,6.03333333333333,21,3.48066298342541,3.32480818414322,0.155854799282192,-0.132574879165825,FALSE
"17","July","BW3m","BW",3,"NO3",100,97.6666666666667,0.025,"sediment",0.146,NA,146,7.95,2.07,0.03011743106,6.11666666666667,48.3333333333333,7.90190735694823,3.92764857881137,3.97425877813686,-3.2989689344846,FALSE
"18","July","BW3m","BW",3,"NO3",100,97.6666666666667,0.025,"sediment",0.121,NA,121,7.95,1.94,0.02822599819,6.11666666666667,23.3333333333333,3.81471389645777,3.92764857881137,-0.112934682353603,0.100027182026829,FALSE
"19","July","BW3m","BW",3,"NO3",100,97.6666666666667,0.025,"sediment",0.149,NA,149,7.95,1.95,0.02837149303,6.11666666666667,51.3333333333333,8.39237057220708,3.92764857881137,4.46472199339572,-3.93416200257308,FALSE
"20","July","BW3m","BW",3,"NO3",200,223.666666666667,0.025,"sediment",0.244,NA,244,7.95,1.98,0.02880797753,6.2,20.3333333333333,3.27956989247312,2.74932614555256,0.530243746920558,-0.46015356889283,FALSE
"21","July","BW3m","BW",3,"NO3",200,223.666666666667,0.025,"sediment",0.245,NA,245,7.95,1.97,0.0286624827,6.2,21.3333333333333,3.44086021505376,2.74932614555256,0.691534069501203,-0.603170071430347,FALSE
"22","July","BW3m","BW",3,"NO3",200,223.666666666667,0.025,"sediment",0.239,NA,239,7.95,2.06,0.02997193622,6.2,15.3333333333333,2.47311827956989,2.74932614555256,-0.276207865982668,0.23038874095024,FALSE
"23","July","BW3m","BW",3,"NO3",800,852.333333333333,0.025,"sediment",0.861,NA,861,7.95,2.06,0.02997193622,6.2,8.66666666666663,1.39784946236559,3.99999999999999,-2.60215053763441,2.1704891857287,FALSE
"24","July","BW3m","BW",3,"NO3",800,852.333333333333,0.025,"sediment",0.89,NA,890,7.95,2.03,0.02953545171,6.2,37.6666666666666,6.07526881720429,3.99999999999999,2.0752688172043,-1.75659139868654,FALSE
"25","July","BW3m","BW",3,"NO3",800,852.333333333333,0.025,"sediment",0.903,NA,903,7.95,1.97,0.0286624827,6.2,50.6666666666666,8.17204301075268,3.99999999999999,4.17204301075269,-3.6389407142605,FALSE
"26","July","BW3m","BW",3,"NO3",1600,1682,0.025,"sediment",1.686,NA,1686,7.95,1.94,0.02822599819,6.2,4,0.645161290322581,4.42748091603053,-3.78231962570795,3.35003176880381,FALSE
"27","July","BW3m","BW",3,"NO3",1600,1682,0.025,"sediment",1.712,NA,1712,7.95,2.05,0.02982644139,6.2,30,4.83870967741935,4.42748091603053,0.411228761388821,-0.344684734604892,FALSE
"28","July","BW3m","BW",3,"NO3",1600,1682,0.025,"sediment",1.67,NA,1670,7.95,1.98,0.02880797753,6.2,-12,-1.93548387096774,4.42748091603053,-6.36296478699828,5.52187738654338,FALSE
"29","July","BW3m","BW",3,"NO3",2000,1947,0.025,"sediment",2.028,NA,2028,7.95,2.06,0.02997193622,6.28333333333333,81,12.8912466843501,34.6055979643766,-21.7143512800265,18.1122359935631,FALSE
"30","July","BW3m","BW",3,"NO3",2000,1947,0.025,"sediment",2.061,NA,2061,7.95,1.99,0.02895347237,6.28333333333333,114,18.1432360742706,34.6055979643766,-16.462361890106,14.2144970383271,FALSE
"31","July","BW3m","BW",3,"NO3",2000,1947,0.025,"sediment",2.084,NA,2084,7.95,1.98,0.02880797753,6.28333333333333,137,21.8037135278515,34.6055979643766,-12.8018844365251,11.1096695552417,FALSE
"32","July","SS3m","SS",3,"NO3",0,0,0.025,"sediment",0.013,NA,13,7.95,1.95,0.01743201032,6.05,13,2.14876033057851,3.32480818414322,-1.17604785356471,1.68662109529532,FALSE
"33","July","SS3m","SS",3,"NO3",0,0,0.025,"sediment",0.006,NA,6,7.95,2.04,0.01823656464,6.05,6,0.991735537190083,3.32480818414322,-2.33307264695314,3.19834449772929,FALSE
"34","July","SS3m","SS",3,"NO3",0,0,0.025,"sediment",0.012,NA,12,7.95,2.03,0.01814716972,6.05,12,1.98347107438017,3.32480818414322,-1.34133710976306,1.84785992865429,FALSE
"35","July","SS3m","SS",3,"NO3",100,97.6666666666667,0.025,"sediment",0.045,NA,45,7.95,2.04,0.01823656464,6.15,-52.6666666666667,-8.56368563685637,3.92764857881137,-12.4913342156677,17.1240231675396,FALSE
"36","July","SS3m","SS",3,"NO3",100,97.6666666666667,0.025,"sediment",0.042,NA,42,7.95,2.05,0.01832595957,6.15,-55.6666666666667,-9.05149051490515,3.92764857881137,-12.9791390937165,17.7059474623141,FALSE
"37","July","SS3m","SS",3,"NO3",100,97.6666666666667,0.025,"sediment",0.045,NA,45,7.95,2.04,0.01823656464,6.15,-52.6666666666667,-8.56368563685637,3.92764857881137,-12.4913342156677,17.1240231675396,FALSE
"38","July","SS3m","SS",3,"NO3",200,223.666666666667,0.025,"sediment",0.106,NA,106,7.95,2.01,0.01796837987,6.13333333333333,-117.666666666667,-19.1847826086956,2.74932614555256,-21.9341087542482,30.5176494944731,FALSE
"39","July","SS3m","SS",3,"NO3",200,223.666666666667,0.025,"sediment",0.106,NA,106,7.95,1.98,0.0177001951,6.13333333333333,-117.666666666667,-19.1847826086956,2.74932614555256,-21.9341087542482,30.9800381158626,FALSE
"40","July","SS3m","SS",3,"NO3",200,223.666666666667,0.025,"sediment",0.104,NA,104,7.95,1.98,0.0177001951,6.13333333333333,-119.666666666667,-19.5108695652174,2.74932614555256,-22.2601957107699,31.4406078365345,FALSE
"41","July","SS3m","SS",3,"NO3",800,852.333333333333,0.025,"sediment",0.682,NA,682,7.95,1.95,0.01743201032,6.15,-170.333333333333,-27.6964769647697,3.99999999999999,-31.6964769647696,45.4572886071605,FALSE
"42","July","SS3m","SS",3,"NO3",800,852.333333333333,0.025,"sediment",0.662,NA,662,7.95,1.95,0.01743201032,6.15,-190.333333333333,-30.9485094850949,3.99999999999999,-34.9485094850949,50.1211691072112,FALSE
