Site,Location,Depth,Vial_num,Sample_ID,Sample_Date,Inc_month,Composite_num,Weight_mg,Weight_g,Volume_lake_water_L,NO3_spike_µg_L,NH3_spike_µg_L,Analyte,Spike_µg_L,Type,Goal_incubation_hrs,Incubation_start_time,Incubation_end_time,Actual_incubation_hrs,bin,Notes,NO2_NO3_mgNL,NH3_mgNL,Conc_mgNL,Flag,OM_g,OM_%,Percent_water,Sample_dryweight_g,AFDM_g
BW0.5m,BW,0.5,1,Sed_NA_1,2023-07-21,July,1,2060,2.06,0.025,0,,NO3,0,sediment,6,8:07,14:10,6:03,1,,0.021,,0.021,N,0.53,0.016,0.264,1.51718727,0.02408983809
BW0.5m,BW,0.5,2,Sed_NA_2,2023-07-21,July,2,2070,2.07,0.025,0,,NO3,0,sediment,6,8:07,14:10,6:03,1,,0.017,,0.017,N,0.53,0.016,0.264,1.524552257,0.02420677905
BW0.5m,BW,0.5,3,Sed_NA_3,2023-07-21,July,3,1980,1.98,0.025,0,,NO3,0,sediment,6,8:07,14:10,6:03,1,,0.016,,0.016,N,0.53,0.016,0.264,1.458267376,0.0231543104
BW0.5m,BW,0.5,4,Sed_NA_4,2023-07-21,July,1,1950,1.95,0.025,100,,NO3,100,sediment,6,8:09,14:11,6:02,1,,0.13,,0.13,N,0.53,0.016,0.264,1.436172416,0.02280348752
BW0.5m,BW,0.5,5,Sed_NA_5,2023-07-21,July,2,1940,1.94,0.025,100,,NO3,100,sediment,6,8:09,14:11,6:02,1,,0.128,,0.128,N,0.53,0.016,0.264,1.428807429,0.02268654655
BW0.5m,BW,0.5,6,Sed_NA_6,2023-07-21,July,3,2040,2.04,0.025,100,,NO3,100,sediment,6,8:09,14:11,6:02,1,,0.122,,0.122,N,0.53,0.016,0.264,1.502457297,0.02385595617
BW0.5m,BW,0.5,7,Sed_NA_7,2023-07-21,July,1,1960,1.96,0.025,200,,NO3,200,sediment,6,8:13,14:18,6:05,1,,0.239,,0.239,N,0.53,0.016,0.264,1.443537403,0.02292042848
BW0.5m,BW,0.5,8,Sed_NA_8,2023-07-21,July,2,1980,1.98,0.025,200,,NO3,200,sediment,6,8:13,14:18,6:05,1,,0.228,,0.228,N,0.53,0.016,0.264,1.458267376,0.0231543104
BW0.5m,BW,0.5,9,Sed_NA_9,2023-07-21,July,3,1940,1.94,0.025,200,,NO3,200,sediment,6,8:13,14:18,6:05,1,,0.241,,0.241,N,0.53,0.016,0.264,1.428807429,0.02268654655
BW0.5m,BW,0.5,10,Sed_NA_10,2023-07-21,July,1,2030,2.03,0.025,800,,NO3,800,sediment,6,8:17,14:29,6:12,1,,0.866,,0.866,N,0.53,0.016,0.264,1.49509231,0.02373901521
