Site,Location,Depth,Vial_num,Sample_ID,Sample_Date,Inc_month,Composite_num,Weight_mg,Weight_g,Volume_lake_water_L,NO3_spike_µg_L,NH3_spike_µg_L,Analyte,Spike_µg_L,Type,Goal_incubation_hrs,Incubation_start_time,Incubation_end_time,Actual_incubation_hrs,bin,Notes,NO2_NO3_mgNL,NH3_mgNL,Conc_mgNL,Flag,Percent_water,Sample_dryweight_g,
BW0.5m,BW,0.5,1,Sed_NA_1,2023-05-24,May,1,2082.3,2.0823,0.025,0,,NO3,0,sediment,6,8:28,14:36,6:08,1,,0.038,,0.038,N,0.247,1.568506398,
BW0.5m,BW,0.5,2,Sed_NA_2,2023-05-24,May,2,2056.5,2.0565,0.025,0,,NO3,0,sediment,6,8:28,14:36,6:08,1,,0.007,,0.007,N,0.247,1.549072376,
BW0.5m,BW,0.5,3,Sed_NA_3,2023-05-24,May,3,2007.3,2.0073,0.025,0,,NO3,0,sediment,6,8:28,14:36,6:08,1,,0.011,,0.011,N,0.247,1.512012147,
BW0.5m,BW,0.5,4,Sed_NA_4,2023-05-24,May,1,2069.7,2.0697,0.025,100,,NO3,100,sediment,6,8:30,14:36,6:06,1,,0.083,,0.083,N,0.247,1.559015364,
BW0.5m,BW,0.5,5,Sed_NA_5,2023-05-24,May,2,2058.5,2.0585,0.025,100,,NO3,100,sediment,6,,,6,,"Cracked, not in experiment",,,,,0.247,1.550578889,
BW0.5m,BW,0.5,6,Sed_NA_6,2023-05-24,May,3,2053.1,2.0531,0.025,100,,NO3,100,sediment,6,8:30,14:36,6:06,1,,0.124,,0.124,N,0.247,1.546511303,
BW0.5m,BW,0.5,7,Sed_NA_7,2023-05-24,May,1,2082.2,2.0822,0.025,200,,NO3,200,sediment,6,8:31,14:44,6:13,1,,0.205,,0.205,N,0.247,1.568431073,
BW0.5m,BW,0.5,8,Sed_NA_8,2023-05-24,May,2,2064.2,2.0642,0.025,200,,NO3,200,sediment,6,8:31,14:44,6:13,1,,0.21,,0.21,N,0.247,1.554872452,
BW0.5m,BW,0.5,9,Sed_NA_9,2023-05-24,May,3,2033.7,2.0337,0.025,200,,NO3,200,sediment,6,8:31,14:44,6:13,1,,0.212,,0.212,N,0.247,1.531898123,
BW0.5m,BW,0.5,10,Sed_NA_10,2023-05-24,May,1,2077.3,2.0773,0.025,500,,NO3,500,sediment,6,8:33,14:48,6:15,1,,0.451,,0.451,N,0.247,1.564740115,
BW0.5m,BW,0.5,11,Sed_NA_11,2023-05-24,May,2,2052.5,2.0525,0.025,500,,NO3,500,sediment,6,8:33,14:48,6:15,1,,0.513,,0.513,N,0.247,1.546059349,
BW0.5m,BW,0.5,12,Sed_NA_12,2023-05-24,May,3,2028.4,2.0284,0.025,500,,NO3,500,sediment,6,8:33,14:48,6:15,1,,0.487,,0.487,N,0.247,1.527905863,
BW0.5m,BW,0.5,13,Sed_NA_13,2023-05-24,May,1,2083.4,2.0834,0.025,800,,NO3,800,sediment,6,8:35,14:51,6:16,1,,0.783,,0.783,N,0.247,1.569334981,
BW0.5m,BW,0.5,14,Sed_NA_14,2023-05-24,May,2,2029.3,2.0293,0.025,800,,NO3,800,sediment,6,8:35,14:51,6:16,1,,0.806,,0.806,N,0.247,1.528583794,
BW0.5m,BW,0.5,15,Sed_NA_15,2023-05-24,May,3,2010.2,2.0102,0.025,800,,NO3,800,sediment,6,8:35,14:51,6:16,1,,0.789,,0.789,N,0.247,1.514196591,
BW0.5m,BW,0.5,16,Sed_NA_16,2023-05-24,May,1,1996.1,1.9961,0.025,1200,,NO3,1200,sediment,6,8:38,14:56,6:18,2,,1.227,,1.227,N,0.247,1.503575672,
BW0.5m,BW,0.5,17,Sed_NA_17,2023-05-24,May,2,2015.8,2.0158,0.025,1200,,NO3,1200,sediment,6,8:38,14:56,6:18,2,,1.157,,1.157,N,0.247,1.518414829,
BW0.5m,BW,0.5,18,Sed_NA_18,2023-05-24,May,3,2058.9,2.0589,0.025,1200,,NO3,1200,sediment,6,8:38,14:56,6:18,2,,0.659,,0.659,Y,0.247,1.550880192,
BW_3m,BW,3,19,Sed_NA_19,2023-05-24,May,1,2020.6,2.0206,0.025,0,,NO3,0,sediment,6,8:28,14:37,6:09,1,,0.019,,0.019,N,0.317,1.3800698,
BW_3m,BW,3,20,Sed_NA_20,2023-05-24,May,2,2127.4,2.1274,0.025,0,,NO3,0,sediment,6,8:28,14:37,6:09,1,,0.008,,0.008,N,0.317,1.4530142,
