Site,Sample_ID,Date,Type,pct_OM,notes
BW0.5m_a,NS23_F15,2023-05-24,sediment,0.0038,
BWNS1,NS23_F2,2023-05-24,sediment,0.0365,
BWNS2,NS23_F3,2023-05-24,sediment,0.0401,
BWNS3,NS23_F4,2023-05-24,sediment,0.0127,
BW10m,NS23_F1,2023-05-24,sediment,0.0651,
SSNS1,NS23_F5,2023-05-24,sediment,0.0149,
GB0.5m,NS23_F16,2023-05-25,sediment,0.0057,averaged june and july since om was negative
GBNS1,NS23_F11,2023-05-25,sediment,0.0081,
GBNS2,NS23_F12,2023-05-25,sediment,0.0068,
GBNS3,NS23_F13,2023-05-25,sediment,0.0045,
GB10m,NS23_F14,2023-05-25,sediment,0.0070,
SHNS1,NS23_F8,2023-05-25,sediment,0.0041,
SHNS2,NS23_F9,2023-05-25,sediment,0.0042,
SHNS3,NS23_F10,2023-05-25,sediment,0.0038,
BWNS2,NS_F15,2023-06-16,sediment,0.0226,
BWNS3,NS_F16,2023-06-16,sediment,0.0217,
BW0.5m,NS_F25,2023-06-26,sediment,0.0150,
BWNS1,NS_F26,2023-06-26,sediment,0.0243,
BWNS2,NS_F27,2023-06-26,sediment,0.0174,
BWNS3,NS_F28,2023-06-26,sediment,0.0188,
BW10m,NS_F29,2023-06-26,sediment,0.0424,
SSNS1,NS_F30,2023-06-26,sediment,0.0179,
SSNS2,NS_F31,2023-06-26,sediment,0.0146,
SSNS3,NS_F32,2023-06-26,sediment,0.0139,
GBNS2,NS_F19,2023-06-27,sediment,0.0041,
GBNS1,NS_F18,2023-06-27,sediment,0.0081,
GBNS3,NS_F20,2023-06-27,sediment,0.0038,
GB10m,NS_F21,2023-06-27,sediment,0.0090,
GB0.5m,NS_F17,2023-06-27,sediment,0.0060,
SHNS1,NS_F22,2023-06-27,sediment,0.0046,
SHNS2,NS_F23,2023-06-27,sediment,0.0044,
SHNS3,NS_F24,2023-06-27,sediment,0.0048,
BW0.5m,NS23_F34,2023-07-21,sediment,0.0165,
BWNS1,NS23_F35,2023-07-21,sediment,0.0251,
BWNS2,NS23_F36,2023-07-21,sediment,0.0264,
BWNS3,NS23_F37,2023-07-21,sediment,0.0179,
BW10m,NS23_F38,2023-07-21,sediment,0.0444,
SSNS1,NS23_F39,2023-07-21,sediment,0.0139,
SSNS2,NS23_F40,2023-07-21,sediment,0.0117,
SSNS3,NS23_F41,2023-07-21,sediment,0.0129,
GB0.5m,NS23_F42,2023-07-20,sediment,0.0053,
GBNS1,NS23_F43,2023-07-20,sediment,0.0040,
GBNS2,NS23_F44,2023-07-20,sediment,0.0071,
GBNS3,NS23_F45,2023-07-20,sediment,0.0035,
GB10m,NS23_F46,2023-07-20,sediment,0.0116,
SHNS1,NS23_F47,2023-07-20,sediment,0.0051,
SHNS2,NS23_F48,2023-07-20,sediment,0.0490,
SHNS3,NS23_F49,2023-07-20,sediment,0.0045,
BW0.5m,NS23_F15,2023-05-24,biofilm,0.8873573869,
GB0.5m,NS23_F16,2023-05-23,biofilm,0.7136038186,
BW0.5m,NS23_25,2023-06-26,biofilm,0.8606271777,
SSNS,NS23_F30,2023-06-23,biofilm,0.5306551136,
GB0.5m,NS23_F17,2023-06-23,biofilm,0.7383524646,
GB0.5m,NS23_F42,2023-07-20,biofilm,0.708320995,
BW0.5m,NS23_F34,2023-07-21,biofilm,0.9215617482,
